Campus,Dorm_Name,URL,Elevator,Type,Number_Students,Floors,Average_Room_Size,Availability,Contract_Type
College Ave,Tinsley Hall,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/tinsley-hall,Yes,Traditional Hall,203,4,192,First-Year,Undergraduate Academic Year (Two semesters)
College Ave,University Center at Easton Avenue,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/university-center-easton-avenue,Yes,Apartments,649,12,216,Continuing,Undergraduate Academic Year (Two semesters)
College Ave,Wessels Hall,https://ruoncampus.rutgers.edu/living-on-campus/college-ave/wessels-hall,No,Traditional Hall,60,3,228,Continuing,Undergraduate Academic Year (Two semesters)
Cook/Douglass,Helyar House,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/helyar-house,No,Traditional Hall,40,2,180,"Continuing, First-Year",Undergraduate Academic Year (Two semesters)
Cook/Douglass,Henderson Apartments,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/henderson-apartments,No,Apartments,274,4,192,Continuing,Undergraduate Academic Year (Two semesters)
Cook/Douglass,Jameson Hall,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/jameson-hall,Yes,Traditional Hall,280,"2 floors (Jameson G), 3 floors (Jameson W)",Varies,Continuing,Undergraduate Academic Year (Two semesters)
Cook/Douglass,Katzenbach Hall,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/katzenbach-hall,Yes,Traditional Hall,236,4,154,First-Year,Undergraduate Academic Year (Two semesters)
Cook/Douglass,Lippincott Hall,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/lippincott-hall,Yes,Traditional Hall,238,4,154,First-Year,Undergraduate Academic Year (Two semesters)
Cook/Douglass,New Gibbons,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/new-gibbons,No,Traditional Hall,442,3,208,"Continuing, First-Year",Undergraduate Academic Year (Two semesters)
Cook/Douglass,Newell Apartments,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/newell-apartments,No,Apartments,982,2,143,Continuing,Undergraduate Academic Year (Two semesters)
Cook/Douglass,Nicholas Hall,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/nicholas-hall,No,Traditional Hall,230,3,176,"First-Year, Transfer",Undergraduate Academic Year (Two semesters)
Cook/Douglass,Perry Hall,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/perry-hall,No,Traditional Hall,174,4,198,First-Year,Undergraduate Academic Year (Two semesters)
Cook/Douglass,Starkey Apartments,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/starkey-apartments,No,Apartments,384,3,198,"Continuing, Graduate","Graduate Full Calendar Year 12-month – Open During University Breaks, Undergraduate Academic Year (Two semesters)"
Cook/Douglass,Voorhees Residence Hall,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/voorhees-residence-hall,No,Traditional Hall,222,4,176,First-Year,Undergraduate Academic Year (Two semesters)
Cook/Douglass,Woodbury Bunting-Cobb Hall,https://ruoncampus.rutgers.edu/living-on-campus/cookdouglass/woodbury-bunting-cobb-hall,No,Traditional Hall,228,3,176,"Continuing, First-Year",Undergraduate Academic Year (Two semesters)
